id_municipio,ano,mortalidade_1,mortalidade_5,taxa_freq_liquida_pre,indice_gini,prop_pobreza_extrema_criancas,prop_pobreza_criancas,prop_vulner_pobreza_criancas,taxa_agua_esgoto_inadequados,taxa_criancas_fora_escola_4_5
1704105,1991,68.45,89.19,0,0.33,59.41,95.44,100,78.64,NA
1704600,1991,57.65,75.58,0,0.36,51.98,85.74,96.18,0,NA
1704600,2000,52.33,66.91,0,0.72,45.93,78.51,95.03,4.7,91.89
1705102,2000,37.75,48.68,2.57,0.73,44.66,67.98,85.31,9.63,95.1
1709005,2000,50.49,64.62,7.08,0.73,66.06,84.26,94.36,4.14,80.87
1712009,1991,49.61,65.35,0,0.72,83.98,81.22,95.36,5.1,NA
1712405,2010,24.1,25.85,16.45,0.74,61.95,74.36,87.29,1.36,73.63
1712454,1991,92.12,118.41,0,0.34,57.87,87.29,100,0,NA
1713205,1991,43.81,57.72,5.99,0.69,31.72,50.06,66.46,3.37,NA
1715101,2000,42.69,54.89,32.04,0.77,46.85,75.14,88.31,24.24,67.96
1715150,1991,68.28,88.97,67,0.72,64.09,85.27,90.4,26.35,NA
1715507,2000,43.29,55.64,18.91,0.73,13.07,56.64,90.1,9.62,67.79
1716109,2000,34.79,44.94,28.24,0.69,12.29,37.1,64.97,12.03,66.24
1716307,2000,44.26,56.86,21,0.69,46.04,79.73,92.81,32.88,73.3
1717206,2000,35.32,45.62,1.34,0.7,39.88,76.6,91.16,16.58,80.66
1717909,2000,45.19,58.03,27.4,0.71,51.36,77.23,88.76,8.96,56.15
1718808,1991,94.2,119.11,39.34,0.37,82.72,96.4,98.86,11.37,NA
1720150,1991,84.03,108.52,0,0.27,49.66,94.89,100,0,NA
1720150,2000,50.49,64.62,5.51,0.79,60.71,74.37,84.9,9.28,71.65
1720978,2000,27.35,35.48,5.08,0.69,33.02,56.88,86.29,15.5,84.84
1721257,1991,66.94,84.74,0,0.72,79.76,94.71,100,10.43,NA
2100501,2010,23.2,25.27,39.93,0.78,33.33,54.81,80.87,9.89,24.73
2100808,2000,50.07,64.8,29.29,0.74,59.29,81.14,90.73,21.62,42.47
2100956,2010,39.6,43.13,47.27,0.72,54.16,75.43,90.76,27.35,15.14
2101301,2000,52.87,68.06,43.59,0.7,64.21,86.45,95.35,81.97,31.42
2101350,1991,96.78,124.59,1.86,0.36,86.16,98.66,99.41,54.38,NA
2101400,2000,33.41,42.3,27.45,0.71,36.35,64.55,82.58,33.97,51.3
2101731,2000,53.25,68.72,39.05,0.69,72.47,88,100,48.2,39.08
2101939,1991,94.76,122.06,8.29,0.36,66.47,97.05,98.53,31.74,NA
2102101,2000,52.12,67.45,30.21,0.71,71.46,85.34,94.56,5.48,62.9
2102374,1991,94.76,122.06,11.97,0.37,67.75,92.43,99.56,96.39,NA
2103174,1991,70.15,91.07,1.38,0.36,51.46,90.95,97.13,8.97,NA
2103505,1991,111.86,143.31,39.85,0.69,65.11,89.97,96.59,69.37,NA
2104099,2000,48.15,60.96,5.18,0.8,69.03,94.44,100,8.57,82.84
2105427,2000,52.16,67.75,46.14,0.69,26.52,56.3,81.02,47.35,34.18
2107258,2000,53.3,69.01,12.34,0.73,75.83,85.15,96.06,10.38,68.13
2109700,2000,55.92,70.79,31.58,0.7,69.51,89.91,95.05,30.28,46.38
2110658,2010,32.9,35.87,52.49,0.69,41.9,65.86,86.53,34.9,5.72
2111003,2000,50.93,65.8,66.29,0.8,76.41,93.77,98.7,48.91,25.88
2111607,2000,53.3,69.01,40.08,0.73,58.12,78.13,91.13,14.43,55.33
2111722,1991,91.31,117.75,4.57,0.37,62.77,93.85,97.89,21.62,NA
2201150,2000,52.53,67.32,19.56,0.7,64.67,84.2,94.85,26.49,56.75
2201739,1991,100.47,129.09,0,0.37,67.32,95.37,99.33,41.68,NA
2201739,2000,66.61,84.66,13.14,0.7,75.3,90.91,96.34,12.53,78.95
2201903,1991,53.26,70.33,34.97,0.77,64.45,84.54,92.94,39.35,NA
2203206,2000,35.73,46.25,60.4,0.75,53.76,75.62,87.55,3.05,23.34
2203271,2000,67.35,85.57,15.6,0.7,66.48,88.52,95.06,19.55,53.07
2204105,1991,61.08,80.29,28.35,0.76,84.68,93.91,96.42,9.68,NA
2204709,1991,63.55,83.4,20.61,0.71,64.32,84.69,93.6,39.92,NA
2204907,2010,24.9,26.9,59.57,0.79,53.54,69.03,88.45,7.38,5.14
2205151,1991,65.67,86.09,0,0.36,71.68,95.56,100,53.74,NA
2205458,1991,92.85,119.83,9.07,0.33,79.94,98.04,100,60.57,NA
2208650,1991,100.47,129.09,0,0.36,68.08,90.12,98.05,41.87,NA
2209450,1991,82.25,106.79,26.95,0.31,67.44,97.07,99.49,37.91,NA
2209872,2000,52.36,67.1,12.14,0.73,71.95,86.64,95.21,13.43,68.09
2210052,1991,82.25,106.79,0,0.36,77.42,98.3,100,41.68,NA
2210375,1991,83.91,108.84,7.87,0.34,81.06,98.27,100,65.8,NA
2210805,1991,54.43,71.82,47.93,0.7,63.47,85.95,91.34,30.07,NA
2211506,1991,99.27,129.09,0,0.36,88.54,98.52,100,66.17,NA
2300309,2000,59.08,75.39,28.77,0.71,60.5,81.02,92.24,8.94,47.67
2300606,2000,56.43,72.11,35.13,0.71,65.07,84.55,91.87,6.67,29.45
2300754,2000,52.03,66.66,24.5,0.71,70.65,85.02,92.94,22.89,40.47
2303808,1991,70.97,92.6,35.2,0.71,67.82,86.16,95.53,86.7,NA
2308500,2000,49.02,62.91,18.16,0.69,65.97,85.7,94.48,18.45,66.39
2309904,1991,66.78,87.35,55.49,0.7,57.23,84.33,93.41,58.29,NA
2311900,2000,64.71,82.3,27.71,0.69,74.89,89.79,95.81,7.04,42.95
2313351,2000,52,66.62,36.83,0.7,73.36,90.14,97.12,34.6,16.8
2313708,2000,59.08,75.39,31.76,0.69,75.85,88.38,95.88,26.19,57.58
2400901,1991,67.49,88.48,14.46,0.71,81.98,94.2,97.19,57.76,NA
2402501,2000,44.36,57.38,46.53,0.74,47.23,75.22,88.85,46.4,27.81
